latitude,longitude,altitude,
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
0.0, 0.0, 0.0, 
40.2815355, -3.8209251, 688.21, 
40.2815359, -3.8209244, 687.75, 
40.2815374, -3.8209218, 687.57, 
40.2815381, -3.8209196, 687.69, 
40.2815396, -3.8209164, 687.59, 
40.2815416, -3.8209157, 687.74, 
40.2815434, -3.8209166, 687.93, 
40.2815454, -3.8209166, 688.07, 
40.2815461, -3.8209165, 688.29, 
40.2815478, -3.8209164, 688.48, 
40.2815499, -3.8209149, 688.56, 
40.2815505, -3.820915, 688.48, 
40.2815496, -3.8209153, 688.63, 
40.2815479, -3.8209167, 688.87, 
40.2815465, -3.8209166, 689.04, 
40.2815461, -3.8209166, 689.09, 
40.2815456, -3.8209155, 689.08, 
40.281545, -3.8209148, 689.16, 
40.281544, -3.8209148, 689.39, 
40.2815432, -3.820915, 689.55, 
40.2815434, -3.8209155, 689.64, 
40.2815434, -3.8209161, 689.72, 
40.2815427, -3.820916, 689.84, 
40.2815427, -3.8209152, 689.9, 
40.2815442, -3.8209147, 690.09, 
40.2815453, -3.8209134, 690.42, 
40.2815481, -3.8209153, 691.0, 
40.2815496, -3.8209192, 691.26, 
40.2815495, -3.8209178, 691.22, 
40.2815502, -3.8209173, 691.31, 
40.2815507, -3.8209179, 691.38, 
40.2815513, -3.8209175, 691.37, 
40.2815518, -3.8209155, 691.44, 
40.2815517, -3.8209136, 691.55, 
40.2815521, -3.8209105, 691.65, 
40.2815527, -3.8209057, 691.81, 
40.2815526, -3.8209002, 691.9, 
40.2815528, -3.8208949, 692.04, 
40.2815532, -3.8208901, 692.11, 
40.2815531, -3.8208869, 692.08, 
40.2815531, -3.8208836, 692.1, 
40.2815537, -3.8208814, 692.11, 
40.2815547, -3.8208791, 692.09, 
40.2815538, -3.8208773, 692.21, 
40.2815501, -3.8208731, 692.28, 
40.281543, -3.8208674, 692.39, 
40.2815337, -3.8208619, 692.45, 
40.2815252, -3.8208587, 692.46, 
40.2815208, -3.8208549, 692.57, 
40.2815203, -3.8208527, 692.51, 
40.2815221, -3.8208504, 692.6, 
40.2815253, -3.820848, 692.62, 
40.2815283, -3.8208453, 692.65, 
40.28153, -3.8208442, 692.65, 
40.2815312, -3.8208437, 692.7, 
40.2815327, -3.8208433, 692.74, 
40.281533, -3.8208427, 692.85, 
40.2815296, -3.8208433, 693.11, 
40.2815239, -3.8208449, 693.16, 
40.2815177, -3.8208462, 693.1, 
40.2815113, -3.8208455, 693.13, 
40.2815044, -3.8208437, 693.13, 
40.2814985, -3.8208411, 693.16, 
40.2814928, -3.8208399, 693.15, 
40.2814868, -3.8208395, 693.14, 
40.2814806, -3.8208369, 693.1, 
40.2814753, -3.8208354, 693.14, 
40.2814709, -3.8208359, 693.13, 
40.2814691, -3.8208385, 693.15, 
40.2814677, -3.8208429, 693.11, 
40.2814674, -3.8208479, 693.1, 
40.2814685, -3.8208531, 693.1, 
40.2814708, -3.8208588, 693.09, 
40.2814739, -3.8208641, 693.09, 
40.2814789, -3.8208682, 693.09, 
40.2814834, -3.8208714, 693.09, 
40.2814883, -3.8208725, 693.02, 
40.2814935, -3.8208722, 692.88, 
40.2814985, -3.8208712, 692.74, 
40.2815027, -3.8208709, 692.71, 
40.2815053, -3.8208713, 692.66, 
40.2815087, -3.8208725, 692.68, 
40.2815089, -3.8208738, 692.64, 
40.2815068, -3.820876, 692.68, 
40.2815028, -3.820878, 692.71, 
40.2814987, -3.8208815, 692.73, 
40.2814954, -3.8208869, 692.81, 
40.2814942, -3.8208937, 692.88, 
40.2814956, -3.8209012, 693.0, 
40.2814984, -3.8209092, 693.2, 
40.2815007, -3.8209157, 693.21, 
40.2815021, -3.8209215, 693.31, 
40.2815046, -3.8209271, 693.4, 
40.2815084, -3.8209327, 693.47, 
40.2815124, -3.8209369, 693.53, 
40.2815172, -3.8209393, 693.63, 
40.2815226, -3.8209416, 693.75, 
40.2815268, -3.8209428, 693.85, 
40.2815289, -3.8209436, 693.86, 
40.2815283, -3.8209447, 693.99, 
40.2815264, -3.8209461, 694.09, 
40.2815241, -3.820947, 694.12, 
40.2815233, -3.8209466, 694.14, 
40.2815236, -3.8209456, 694.19, 
40.2815242, -3.8209446, 694.29, 
40.2815252, -3.8209437, 694.36, 
40.2815261, -3.820943, 694.49, 
40.2815265, -3.8209433, 694.64, 
40.2815265, -3.8209459, 694.7, 
40.2815254, -3.8209496, 694.63, 
40.2815223, -3.820955, 694.61, 
40.2815189, -3.8209618, 694.64, 
40.2815162, -3.8209684, 694.58, 
40.2815129, -3.8209743, 694.7, 
40.2815099, -3.8209789, 694.7, 
40.2815072, -3.8209816, 694.71, 
40.2815057, -3.8209842, 694.69, 
40.281505, -3.820986, 694.68, 
40.2815041, -3.8209857, 694.66, 
40.2815041, -3.8209856, 694.55, 
40.2815035, -3.8209855, 694.45, 
40.2815022, -3.8209858, 694.36, 
40.281502, -3.820986, 694.24, 
40.2815024, -3.8209852, 694.23, 
40.2815026, -3.8209839, 694.14, 
40.2815012, -3.8209843, 694.12, 
40.2815012, -3.8209873, 694.18, 
40.2815006, -3.8209898, 694.19, 
40.2815003, -3.8209911, 694.27, 
40.2815011, -3.8209933, 694.33, 
40.2815008, -3.8209959, 694.35, 
40.281501, -3.8209972, 694.39, 
40.2815005, -3.8209975, 694.48, 
40.281502, -3.8209966, 694.61, 
40.2815043, -3.8209952, 694.57, 
40.2815068, -3.820992, 694.55, 
40.2815076, -3.8209901, 694.57, 
40.2815088, -3.8209846, 694.52, 
40.2815103, -3.8209838, 694.49, 
40.2815122, -3.8209831, 694.48, 
40.2815145, -3.8209816, 694.42, 
40.2815156, -3.8209796, 694.47, 
40.281517, -3.8209773, 694.55, 
40.2815191, -3.8209771, 694.56, 
40.2815195, -3.8209787, 694.68, 
40.2815188, -3.8209798, 694.86, 
40.2815197, -3.8209794, 694.93, 
40.2815217, -3.8209763, 694.92, 
40.2815251, -3.8209702, 694.86, 
40.2815286, -3.8209644, 694.89, 
40.2815347, -3.8209616, 694.94, 
40.2815408, -3.8209612, 694.9, 
40.2815442, -3.8209611, 694.84, 
40.2815498, -3.8209601, 694.76, 
40.2815538, -3.8209579, 694.78, 
40.2815612, -3.8209498, 694.76, 
40.2815677, -3.8209452, 694.77, 
40.2815763, -3.8209418, 694.78, 
40.281586, -3.820937, 694.77, 
40.281596, -3.8209309, 694.76, 
40.281606, -3.8209233, 694.68, 
40.2816171, -3.820914, 694.59, 
40.281627, -3.8209047, 694.58, 
40.2816332, -3.8208993, 694.57, 
40.281636, -3.8208958, 694.63, 
40.2816368, -3.8208949, 694.69, 
40.2816363, -3.8208956, 694.71, 
40.2816356, -3.8208959, 694.74, 
40.2816348, -3.8208984, 694.77, 
40.2816333, -3.8209014, 694.8, 
40.2816316, -3.8209028, 694.86, 
40.2816293, -3.8209038, 694.94, 
40.2816266, -3.8209042, 694.93, 
40.281624, -3.8209038, 694.86, 
40.2816229, -3.8209041, 694.87, 
40.2816229, -3.8209041, 694.87, 
40.2816229, -3.8209041, 694.87, 
40.2816229, -3.8209041, 694.87, 
40.281622, -3.8209001, 695.03, 
40.2816226, -3.8208982, 695.04, 
40.2816219, -3.8208963, 695.03, 
40.2816165, -3.82089, 695.03, 
40.2816131, -3.820886, 694.99, 
40.2816107, -3.8208838, 694.94, 
40.2816075, -3.8208824, 694.96, 
40.2816022, -3.8208807, 695.01, 
40.2815944, -3.820877, 695.03, 
40.2815864, -3.8208713, 695.01, 
40.2815781, -3.8208625, 694.92, 
40.2815688, -3.8208501, 694.85, 
40.2815608, -3.8208351, 694.83, 
40.2815551, -3.8208214, 694.89, 
40.2815514, -3.8208134, 694.97, 
40.2815508, -3.8208079, 694.93, 
40.2815506, -3.8208044, 694.87, 
40.281552, -3.820803, 694.85, 
40.281554, -3.8208024, 694.75, 
40.2815556, -3.8208041, 694.71, 
40.2815547, -3.8208079, 694.7, 
40.28155, -3.8208102, 694.8, 
40.2815427, -3.8208097, 694.87, 
40.2815346, -3.8208063, 694.9, 
40.2815252, -3.8208015, 694.99, 
40.2815146, -3.8207954, 695.06, 
40.2815032, -3.8207892, 695.15, 
40.2814931, -3.8207859, 695.22, 
40.2814866, -3.8207897, 695.24, 
40.2814835, -3.8207955, 695.14, 
40.2814818, -3.8207995, 695.0, 
40.2814828, -3.8208016, 695.16, 
40.2814838, -3.8208028, 695.17, 
40.2814842, -3.8208051, 695.14, 
40.2814826, -3.8208098, 695.1, 
40.2814792, -3.8208173, 695.08, 
40.2814755, -3.8208279, 695.08, 
40.2814717, -3.8208403, 695.11, 
40.2814673, -3.8208547, 695.12, 
40.2814632, -3.8208695, 695.05, 
40.2814619, -3.8208844, 694.91, 
40.2814632, -3.8208989, 694.9, 
40.2814678, -3.8209067, 694.87, 
40.281474, -3.8209126, 694.79, 
40.2814825, -3.8209195, 694.74, 
40.2814889, -3.8209209, 694.63, 
40.2814983, -3.8209205, 694.62, 
40.281505, -3.8209197, 694.72, 
40.2815125, -3.8209186, 694.85, 
40.28152, -3.8209172, 694.9, 
40.2815262, -3.8209166, 694.93, 
40.2815321, -3.8209152, 694.97, 
40.2815376, -3.820915, 695.04, 
40.2815408, -3.8209146, 695.01, 
40.2815419, -3.8209136, 695.06, 
40.281543, -3.8209133, 695.23, 
40.2815438, -3.820913, 695.23, 
40.2815434, -3.8209145, 695.06, 
40.2815413, -3.8209158, 694.93, 
40.2815401, -3.8209151, 694.81, 
40.2815386, -3.8209126, 694.64, 
40.2815374, -3.8209124, 694.56, 
40.2815372, -3.8209124, 694.52, 
40.2815364, -3.820913, 694.51, 
40.281535, -3.8209134, 694.55, 
40.2815341, -3.8209136, 694.54, 
40.2815348, -3.8209129, 694.5, 
40.2815365, -3.8209107, 694.43, 
40.2815393, -3.820907, 694.36, 
40.281541, -3.8209014, 694.28, 
40.2815422, -3.8208965, 694.2, 
40.2815427, -3.8208935, 694.25, 
40.2815421, -3.8208924, 694.33, 
40.2815431, -3.8208932, 694.34, 
40.2815437, -3.8208952, 694.24, 
40.2815428, -3.8208981, 694.16, 
40.2815411, -3.8209009, 694.17, 
40.281538, -3.8209026, 694.23, 
40.2815355, -3.8209039, 694.25, 
40.2815337, -3.8209052, 694.06, 
40.2815335, -3.8209077, 693.86, 
40.2815332, -3.8209099, 693.8, 
40.2815333, -3.8209105, 693.82, 
40.2815336, -3.8209107, 693.92, 
40.2815344, -3.8209106, 693.91, 
40.2815353, -3.8209111, 693.79, 
40.2815358, -3.8209117, 693.74, 
40.2815363, -3.8209096, 693.69, 
40.2815366, -3.8209069, 693.73, 
40.2815373, -3.820905, 693.74, 
40.2815387, -3.820903, 693.75, 
40.2815394, -3.8209018, 693.67, 
40.2815395, -3.8209015, 693.62, 
40.2815399, -3.8209018, 693.57, 
40.2815402, -3.8209022, 693.56, 
40.2815406, -3.8209021, 693.52, 
40.2815402, -3.8209022, 693.44, 
40.2815399, -3.8209019, 693.34, 
40.28154, -3.8209019, 693.25, 
40.2815401, -3.8209015, 693.2, 
40.2815398, -3.8209012, 693.18, 
40.2815391, -3.8209022, 693.11, 
40.2815459, -3.8208969, 690.63, 
40.2815459, -3.8208977, 690.47, 
40.2815448, -3.8208982, 690.35, 
40.2815447, -3.8208985, 690.26, 
40.2815439, -3.8208988, 690.17, 
40.2815431, -3.8208992, 690.08, 
40.2815417, -3.8208998, 689.97, 
40.2815406, -3.8209006, 689.77, 
40.2815394, -3.8209009, 689.68, 
40.2815381, -3.8209019, 689.65, 
40.2815374, -3.8209029, 689.55, 
40.2815373, -3.8209033, 689.49, 
40.2815358, -3.820904, 689.48, 
40.2815351, -3.8209042, 689.54, 
40.2815348, -3.8209043, 689.6, 
40.2815341, -3.8209038, 689.62, 
40.2815334, -3.8209038, 689.68, 
40.2815332, -3.8209037, 689.73, 
40.281533, -3.8209034, 689.76, 
40.2815327, -3.8209031, 689.81, 
40.2815318, -3.820903, 689.87, 
40.2815308, -3.820903, 689.95, 
40.2815303, -3.8209036, 690.0, 
40.2815301, -3.8209033, 690.09, 
40.2815301, -3.8209026, 690.14, 
40.2815296, -3.8209021, 690.16, 
40.2815289, -3.8209021, 690.16, 
40.2815287, -3.8209012, 690.15, 
40.2815292, -3.8209018, 690.17, 
40.281536, -3.8209019, 690.33, 
40.2815444, -3.8208985, 690.36, 
40.2815535, -3.8208957, 690.5, 
40.2815628, -3.8208942, 690.65, 
40.2815705, -3.8208929, 690.81, 
40.2815777, -3.8208917, 690.89, 
40.281582, -3.8208914, 690.83, 
40.2815835, -3.8208888, 690.84, 
40.281583, -3.8208873, 690.84, 
40.2815816, -3.8208868, 690.91, 
40.2815793, -3.8208855, 691.02, 
40.2815776, -3.8208845, 691.15, 
40.2815762, -3.820884, 691.3, 
40.2815747, -3.8208834, 691.41, 
40.2815743, -3.8208812, 691.47, 
40.2815743, -3.8208785, 691.54, 
40.2815748, -3.820875, 691.62, 
40.2815751, -3.8208726, 691.71, 
40.2815762, -3.8208698, 691.82, 
40.2815774, -3.8208653, 691.97, 
40.2815776, -3.8208606, 692.06, 
40.2815761, -3.8208559, 692.2, 
40.281573, -3.820853, 692.33, 
40.2815674, -3.8208523, 692.39, 
40.2815627, -3.8208503, 692.47, 
40.2815588, -3.8208462, 692.62, 
40.2815547, -3.8208413, 692.85, 
40.2815499, -3.8208359, 693.03, 
40.281547, -3.8208327, 693.14, 
40.2815466, -3.8208327, 693.15, 
40.2815475, -3.8208344, 693.16, 
40.2815481, -3.8208399, 693.14, 
40.2815484, -3.8208477, 693.17, 
40.2815476, -3.8208525, 693.16, 
40.2815449, -3.8208575, 693.13, 
40.2815435, -3.8208617, 693.11, 
40.2815424, -3.8208639, 693.08, 
40.2815423, -3.8208652, 693.11, 
40.2815427, -3.8208667, 693.16, 
40.2815415, -3.8208701, 693.23, 
40.2815402, -3.8208773, 693.25, 
40.2815404, -3.8208846, 693.18, 
40.2815405, -3.8208922, 693.13, 
40.2815406, -3.820901, 693.03, 
40.2815423, -3.8209074, 693.01, 
40.2815442, -3.8209117, 692.87, 
40.2815466, -3.8209127, 692.85, 
40.2815485, -3.8209123, 692.84, 
40.28155, -3.8209117, 692.83, 
40.2815509, -3.8209092, 692.79, 
40.2815508, -3.8209061, 692.81, 
40.2815499, -3.8209035, 692.82, 
40.2815472, -3.8209016, 692.82, 
40.2815449, -3.8209003, 692.83, 
40.2815428, -3.8208999, 692.93, 
40.2815439, -3.8209001, 692.97, 
40.2815453, -3.8208995, 692.87, 
40.2815462, -3.8208987, 692.73, 
40.2815451, -3.8208983, 692.49, 
40.2815442, -3.8208993, 692.21, 
40.2815433, -3.8209008, 692.02, 
40.2815435, -3.8209026, 691.91, 
40.2815432, -3.8209045, 691.8, 
40.2815424, -3.8209042, 691.85, 
40.2815418, -3.8209037, 691.93, 
40.2815403, -3.8209043, 691.97, 
40.2815391, -3.8209034, 692.06, 
40.2815378, -3.8209028, 692.14, 
40.281537, -3.8209032, 692.21, 
